seconds	status	phase	test
1.272771	pass	e2e	absolute_binding_memory_region_overlap.pl
0.866279	pass	e2e	align_language_placement.pl
0.787768	pass	e2e	assembler_align_directive.pl
2.122532	pass	e2e	assembler_component_constraints.pl
0.665845	pass	e2e	assembler_conditional_directives.pl
0.557702	pass	e2e	assembler_diagnostic_directives.pl
0.713253	pass	e2e	assembler_expression_grammar.pl
1.769000	pass	e2e	assembler_fixture_suite.pl
0.205805	pass	e2e	assembler_hi_lo_precedence.test
0.207371	pass	e2e	assembler_illegal_alias_catalog.pl
0.667287	pass	e2e	assembler_importzp_relocation.pl
0.430066	pass	e2e	assembler_layout_addend_relocation.pl
1.201617	pass	e2e	assembler_mode_suffix_operand_matrix.pl
0.934468	pass	e2e	assembler_opcode_mode_validation.pl
0.581842	pass	e2e	assembler_opcode_override.pl
0.183079	pass	e2e	assembler_relaxation_summary_smoke.test
0.340366	pass	e2e	assembler_relocatable_zp_relaxation.pl
0.691968	pass	e2e	assembler_repeat_directive.pl
0.161273	pass	e2e	assembler_rich_opcode_illegal_mode_smoke.test
0.153846	pass	e2e	assembler_rich_opcode_smoke.test
0.849485	pass	e2e	assembler_rorg_directive.pl
0.515613	pass	e2e	assembler_symbol_assignment.pl
0.179952	pass	e2e	assembler_xray_passes_smoke.test
0.872071	pass	e2e	compiler_dash_stdout.pl
0.216716	pass	e2e	context_history_format.pl
1.146627	pass	e2e	declaration_contract_linker.pl
0.551705	pass	e2e	declaration_contract_metadata.pl
1.073979	pass	e2e	define_option_support.pl
0.484281	pass	e2e	directional_ref_cross_bank.pl
0.996284	pass	e2e	division_private_workspace.pl
0.109874	pass	e2e	driver_default_vcs_linker_script.test
0.666585	pass	e2e	driver_temp_cleanup.pl
0.400499	pass	e2e	driver_version_format.pl
0.330695	pass	e2e	e2e_abi_const_ref_mismatch_fail.c26
0.284034	pass	e2e	e2e_abi_int16_mismatch_fail.c26
0.429558	pass	e2e	e2e_abi_int8_mismatch_fail.c26
0.634528	pass	e2e	e2e_abi_match_archive_verify.c26
0.468485	pass	e2e	e2e_abi_match_object_verify.c26
0.386578	pass	e2e	e2e_abi_pointer_mismatch_fail.c26
0.499777	pass	e2e	e2e_abi_struct_mismatch_fail.c26
0.262625	pass	e2e	e2e_abi_uint8_mismatch_fail.c26
0.362607	pass	e2e	e2e_abi_union_archive_mismatch_fail.c26
0.321844	pass	e2e	e2e_abi_writeonly_pointer_mismatch_fail.c26
0.337010	pass	e2e	e2e_abi_writeonly_struct_mismatch_fail.c26
0.320301	pass	e2e	e2e_absolute_binding_abi_mismatch_fail.c26
0.502382	pass	e2e	e2e_activation_argument_staging_verify.c26
0.623150	pass	e2e	e2e_activation_overlay_cross_tu_verify.c26
0.414944	pass	e2e	e2e_activation_overlay_verify.c26
0.394183	pass	e2e	e2e_alias_function_like_verify.c26
0.328780	pass	e2e	e2e_array_decay_assignment_temp_verify.c26
0.396347	pass	e2e	e2e_array_decay_pointer_param_verify.c26
0.378133	pass	e2e	e2e_assign_expr_verify.c26
0.409074	pass	e2e	e2e_assignment_fixed_scratch_verify.c26
0.292946	pass	e2e	e2e_automatic_local_reinit_verify.c26
0.510501	pass	e2e	e2e_bcd24_memory_return_cross_tu_verify.c26
0.302785	pass	e2e	e2e_bcd24_memory_return_verify.c26
0.527854	pass	e2e	e2e_bcd32_arithmetic_verify.c26
0.923022	pass	e2e	e2e_bcd32_literal_layout_verify.c26
0.494141	pass	e2e	e2e_bcd32_memory_return_cross_tu_verify.c26
0.278684	pass	e2e	e2e_bcd32_memory_return_verify.c26
0.195111	pass	e2e	e2e_bcd_abi_mismatch_fail.c26
0.653950	pass	e2e	e2e_bcd_arithmetic_verify.c26
0.979219	pass	e2e	e2e_bcd_good_stuff_verify.c26
0.866016	pass	e2e	e2e_bcd_literal_layout_verify.c26
0.936601	pass	e2e	e2e_bcd_power_of_ten_verify.c26
0.236122	pass	e2e	e2e_bcd_switch_verify.c26
0.292851	pass	e2e	e2e_bitfield_machine_signed_verify.c26
0.305433	pass	e2e	e2e_bitfield_pack_verify.c26
0.354828	pass	e2e	e2e_braced_assignment_verify.c26
0.271957	pass	e2e	e2e_builtin_ntsc_rgb_verify.c26
0.165479	pass	e2e	e2e_builtin_pal_secam_rgb_verify.c26
0.390531	pass	e2e	e2e_call_argument_order_verify.c26
0.331963	pass	e2e	e2e_conditional_alias_verify.c26
0.243373	pass	e2e	e2e_const_pointer_pointee_verify.c26
0.338238	pass	e2e	e2e_default_parameter_calls_verify.c26
0.385721	pass	e2e	e2e_default_parameter_cross_tu_verify.c26
0.523660	pass	e2e	e2e_default_parameter_cycle_cross_tu_fail.c26
0.355746	pass	e2e	e2e_default_xform_string_escape_verify.c26
0.510972	pass	e2e	e2e_direct_and_archive_init.c26
0.407905	pass	e2e	e2e_direct_u8_state_update_verify.c26
0.766224	pass	e2e	e2e_directional_address_projection_verify.c26
0.424807	pass	e2e	e2e_directional_ref_separate_verify.c26
0.927115	pass	e2e	e2e_directional_ref_verify.c26
0.343931	pass	e2e	e2e_discard_assignment_verify.c26
0.273884	pass	e2e	e2e_enum_verify.c26
0.299980	pass	e2e	e2e_fixed_binary_compare_verify.c26
0.506909	pass	e2e	e2e_fixed_cast_abs_incdec_verify.c26
0.375540	pass	e2e	e2e_fixed_muldiv_helpers_verify.c26
0.474069	pass	e2e	e2e_fixed_muldiv_widths_verify.c26
0.387973	pass	e2e	e2e_for_decl_verify.c26
0.418146	pass	e2e	e2e_function_code_region_abi_mismatch_fail.c26
0.470121	pass	e2e	e2e_function_replica_region_abi_mismatch_fail.c26
0.493578	pass	e2e	e2e_function_result_region_abi_mismatch_fail.c26
0.280634	pass	e2e	e2e_incdec_assignment_side_effect_verify.c26
