# This file is covered under CC0-1.0. See libraries/LICENSE.txt.
file	line	kind	opcode	operand	purpose
standard_4k_ntsc_macros.inc	18	padding	NOP		explicit legal one-byte two-cycle padding
standard_4k_ntsc_macros.inc	22	padding	NOP		explicit legal one-byte two-cycle padding
standard_4k_ntsc_macros.inc	50	relative_branch	BNE	@clear_stack	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	100	segment	.segment	RENDERER_CODE	linker placement range
standard_4k_ntsc_renderer.s26	110	relative_branch	BMI	@overscanloop	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	131	alignment	.align	256, $fa, $ea	page or offset anchor affecting timing placement
standard_4k_ntsc_renderer.s26	135	padding	SLEEP	3	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	137	indexed_read	LDA	vcs_standard_object_x + 0,X	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	141	relative_branch	BCS	@DivideLoop	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	146	relative_branch	BPL	@HorPosLoop	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	150	indexed_read	LDY	vcs_standard_pointer_workspace + 6,X	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	151	indexed_read	LDA	@repostable-256,Y	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	155	indexed_read	LDY	vcs_standard_pointer_workspace + 6,X	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	156	indexed_read	LDA	@repostable-256,Y	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	160	indexed_read	LDY	vcs_standard_pointer_workspace + 6,X	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	161	indexed_read	LDA	@repostable-256,Y	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	165	indexed_read	LDY	vcs_standard_pointer_workspace + 6,X	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	166	indexed_read	LDA	@repostable-256,Y	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	170	indexed_read	LDY	vcs_standard_pointer_workspace + 6,X	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	171	indexed_read	LDA	@repostable-256,Y	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	200	relative_branch	BMI	@vblk2	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	257	padding	SLEEP	3	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	273	padding	NOP		explicit legal one-byte two-cycle padding
standard_4k_ntsc_renderer.s26	284	alignment	.align	256	page or offset anchor affecting timing placement
standard_4k_ntsc_renderer.s26	291	indexed_read	LDY	vcs_standard_playfield,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	293	indexed_read	LDY	vcs_standard_playfield+1,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	295	indexed_read	LDY	vcs_standard_playfield+3,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	297	indexed_read	LDY	vcs_standard_playfield+2,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	313	relative_branch	BCC	@drawP1	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	317	indexed_read	LDA	(vcs_standard_player1_graphics),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	317	indirect_pointer	LDA	(vcs_standard_player1_graphics),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	324	padding	NOP		explicit legal one-byte two-cycle padding
standard_4k_ntsc_renderer.s26	327	indexed_read	LDA	vcs_standard_playfield,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	329	indexed_read	LDA	vcs_standard_playfield+1,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	331	indexed_read	LDA	vcs_standard_playfield+3,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	333	indexed_read	LDA	vcs_standard_playfield+2,x	indexed read may gain one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	341	relative_branch	BCC	@drawP0	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	345	indexed_read	LDA	(vcs_standard_player0_graphics),y	indexed indirect read gains one cycle when effective address crosses a page
standard_4k_ntsc_renderer.s26	345	indirect_pointer	LDA	(vcs_standard_player0_graphics),y	zero-page pointer and indexed target range are page-sensitive
standard_4k_ntsc_renderer.s26	354	relative_branch	BNE	@continuerenderer	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	375	relative_branch	BCS	@lastrendererline	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	383	padding	SLEEP	3	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	396	padding	SLEEP	6	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	400	padding	SLEEP	2	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	406	alignment	.align	256	page or offset anchor affecting timing placement
standard_4k_ntsc_renderer.s26	412	padding	NOP		explicit legal one-byte two-cycle padding
standard_4k_ntsc_renderer.s26	427	padding	SLEEP	6	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	432	padding	SLEEP	12	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	437	padding	NOP		explicit legal one-byte two-cycle padding
standard_4k_ntsc_renderer.s26	441	relative_branch	BEQ	@endrenderer	taken branch gains one cycle if source and target pages differ
standard_4k_ntsc_renderer.s26	453	padding	SLEEP	4	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	459	padding	SLEEP	10	explicit cycle padding available for retiming
standard_4k_ntsc_renderer.s26	466	padding	NOP		explicit legal one-byte two-cycle padding
standard_4k_ntsc_renderer.s26	585	indexed_read	LDA	(vcs_standard_pointer_workspace),y	indexed indirect read gains one cycle when effective address crosses a page
